PD,Raw_Capacity,Final_Limit,Risk_Haircut_Pct
0.26309216,16997.27,12525.421,26.309216
0.61808866,9605.483,3668.443,61.808865
0.4833943,16989.453,8776.849,48.339428
0.46237186,7929.365,4263.0503,46.237186
0.44285318,12018.793,6696.232,44.285316
0.56704223,5002.004,2165.6565,56.704224
0.6587411,14048.669,4794.233,65.874115
0.36792275,5994.573,3789.0332,36.792274
0.14062056,15004.358,12894.437,14.062056
0.11960049,2008.6143,1768.383,11.960049
0.6806494,6836.593,2183.27,68.06494
0.5936687,18873.895,7669.054,59.36687
0.7134762,8867.585,2540.7744,71.34762
0.45240098,9434.834,5166.506,45.240097
0.42280698,4997.9316,2884.7712,42.280697
0.62083846,19043.078,7220.403,62.083847
0.2355266,24479.035,18713.57,23.55266
0.7559431,27366.068,6678.8774,75.594315
0.6806084,15001.506,4791.355,68.06084
0.13464214,12978.632,11231.161,13.464214
0.43888274,12008.642,6738.2563,43.888275
0.65988714,13284.765,4518.3193,65.988716
0.38958022,15005.512,9159.661,38.958023
0.75909865,14978.234,3608.2769,75.90987
0.46673056,16002.413,8533.598,46.673058
0.23722331,34998.637,26696.145,23.722332
0.61210245,8846.327,3431.4688,61.210243
0.7133221,14996.183,4299.074,71.33221
0.8171667,13066.022,2388.9043,81.71667
0.20059241,12417.172,9926.382,20.059242
0.7182357,4574.4365,1288.9131,71.82357
0.54691887,9999.294,4530.491,54.691887
0.32342336,33298.28,22528.838,32.342335
0.5857976,7005.5176,2901.7021,58.57976
0.580979,4567.245,1913.7716,58.0979
0.5867406,22044.4,9110.056,58.67406
0.35464525,10284.68,6637.267,35.464523
0.71991575,14008.608,3923.5906,71.99158
0.11404299,8528.27,7555.68,11.404299
0.49673903,2523.088,1269.7716,49.673904
0.104104206,27999.55,25084.68,10.41042
0.45711118,5007.1035,2718.3005,45.711117
0.20818487,5005.8223,3963.686,20.818487
0.63506395,34992.29,12769.948,63.506393
0.21501806,11993.727,9414.859,21.501806
0.43491837,10001.377,5651.594,43.491837
0.34542587,23982.105,15698.066,34.542587
0.644723,8006.2495,2844.4363,64.4723
0.20785642,10001.16,7922.355,20.78564
0.5600324,9015.241,3966.4138,56.003242
0.3923603,13995.842,8504.429,39.23603
0.5509579,9800.132,4400.6714,55.09579
0.3867623,3003.5488,1841.8895,38.676228
0.43664876,20001.734,11268.003,43.664875
0.36032382,4563.7715,2919.3362,36.032383
0.75929165,13566.464,3265.561,75.92917
0.017992549,8004.876,7860.8477,1.7992549
0.37313712,11245.369,7049.3047,37.313713
0.44711676,15003.148,8294.989,44.711678
0.57478863,8398.654,3571.2034,57.478863
0.5037858,24000.305,11909.292,50.37858
0.6003692,5997.4346,2396.7595,60.036922
0.81652826,27298.453,5008.4946,81.652824
0.46701494,19300.707,10286.989,46.701492
0.26286826,25011.617,18436.855,26.286825
0.17330499,1485.0469,1227.6809,17.3305
0.43937412,12015.933,6736.4434,43.937412
0.69769496,27321.672,8259.4795,69.76949
0.049608465,25927.13,24640.926,4.9608464
0.75625926,11527.818,2809.7988,75.62592
0.49825338,7996.676,4012.3054,49.825336
0.13500254,3994.8516,3455.5364,13.500254
0.24721739,21948.146,16522.182,24.721739
0.24125436,5998.1025,4551.034,24.125437
0.69927657,24807.27,7460.1274,69.92766
0.7229398,5293.202,1466.5356,72.293976
0.5342038,6808.435,3171.343,53.420383
0.075453825,7498.8066,6932.993,7.5453825
0.58696234,6001.488,2478.8406,58.696236
0.7021421,9997.607,2977.8662,70.21421
0.70452243,18514.527,5470.6274,70.45224
0.48403966,12006.855,6195.061,48.403965
0.7604038,5004.782,1199.1267,76.04038
0.4101005,5002.835,2951.17,41.010048
0.62220395,6998.2695,2643.9187,62.220394
0.14322667,30008.213,25710.236,14.322667
0.55433714,25032.217,11155.93,55.433716
0.526956,11773.8955,5569.5703,52.695602
0.71052176,19980.814,5784.011,71.05218
0.6814081,10010.129,3189.146,68.14081
0.26618123,20004.547,14679.712,26.618122
0.12599084,7505.939,6560.2593,12.599084
0.640054,14413.646,5188.135,64.0054
0.4846062,9996.665,5152.219,48.46062
0.4131411,9998.865,5867.923,41.31411
0.38006082,28941.18,17941.771,38.00608
0.4274201,19299.844,11050.702,42.742012
0.8566941,15033.992,2154.4597,85.66941
0.43299899,5916.9004,3354.8884,43.2999
0.38708305,19955.488,12231.057,38.708305
0.49909183,1087.5195,544.7474,49.909184
0.6335041,17164.186,6290.6035,63.35041
0.42391464,12009.577,6918.541,42.391464
0.42403466,6001.016,3456.3772,42.403465
0.7713369,16002.749,3659.238,77.13369
0.576189,14997.9375,6356.291,57.618896
0.31086385,9520.606,6560.994,31.086386
0.68932426,20227.562,6284.213,68.93243
0.7519338,3001.9775,744.68915,75.19338
0.2877643,14864.445,10586.988,28.776432
0.7078937,8009.447,2339.6096,70.789375
0.49841207,34986.164,17548.637,49.841206
0.29606077,15998.528,11261.991,29.606077
0.16339995,12005.739,10044.002,16.339994
0.3849058,8003.1465,4922.689,38.490578
0.20977066,4001.412,3162.0332,20.977066
0.78954935,30049.664,6323.971,78.95493
0.06778204,8237.818,7679.4424,6.7782035
0.76346916,10678.549,2525.8062,76.34692
0.38239533,21973.668,13571.04,38.239532
0.5341173,8543.715,3980.3691,53.411728
0.33589005,1002.2334,665.59314,33.589005
0.5633718,22620.137,9876.59,56.337177
0.56638193,30009.871,13012.822,56.63819
