PD,Raw_Capacity,Final_Limit,Risk_Haircut_Pct
0.7559431,27329.0,6669.8306,75.594315
0.6806084,15009.255,4793.83,68.06084
0.13464214,12987.869,11239.155,13.464214
0.43888274,12004.201,6735.7646,43.888275
0.65988714,13297.509,4522.654,65.988716
0.38958022,15006.325,9160.157,38.958023
0.75909865,14987.765,3610.5728,75.90987
0.46673056,16010.692,8538.013,46.673058
0.23722331,34991.492,26690.693,23.722332
0.61210245,8847.741,3432.017,61.210243
0.7133221,15002.924,4301.007,71.33221
0.8171667,13078.93,2391.2642,81.71667
0.20059241,12221.239,9769.752,20.059242
0.7182357,4584.7197,1291.8104,71.82357
0.54691887,10003.498,4532.396,54.691887
0.32342336,33265.117,22506.4,32.342335
0.5857976,7012.068,2904.4153,58.57976
0.580979,4565.308,1912.96,58.0979
0.5867406,22065.387,9118.729,58.67406
0.35464525,10291.635,6641.7554,35.464523
0.71991575,14021.085,3927.0852,71.99158
0.11404299,8534.518,7561.216,11.404299
0.49673903,2522.4993,1269.4755,49.673904
0.104104206,27966.096,25054.707,10.41042
0.45711118,5005.065,2717.1938,45.711117
0.20818487,4999.6416,3958.792,20.818487
0.63506395,34983.58,12766.769,63.506393
0.21501806,11995.067,9415.911,21.501806
0.43491837,10005.699,5654.0366,43.491837
0.34542587,23996.785,15707.676,34.542587
0.644723,8014.4463,2847.3484,64.4723
0.20785642,9998.832,7920.5107,20.78564
0.5600324,9008.365,3963.3887,56.003242
0.3923603,14008.949,8512.394,39.23603
0.5509579,9801.796,4401.419,55.09579
0.3867623,3001.0203,1840.3389,38.676228
0.43664876,19998.33,11266.085,43.664875
0.36032382,4553.877,2913.0068,36.032383
0.75929165,13574.422,3267.4768,75.92917
0.017992549,7992.669,7848.8604,1.7992549
0.37313712,11233.659,7041.964,37.313713
0.44711676,14999.538,8292.993,44.711678
0.57478863,8401.906,3572.5862,57.478863
0.5037858,23993.096,11905.715,50.37858
0.6003692,6000.5503,2398.0046,60.036922
0.81652826,27312.816,5011.13,81.652824
0.46701494,19293.215,10282.996,46.701492
0.26286826,25013.035,18437.902,26.286825
0.17330499,1484.9722,1227.6191,17.3305
0.43937412,12024.374,6741.176,43.937412
